Internship_ID,Title,Company,Description,Required_Education,Sector,Location,Skill_1,Skill_2,Skill_3,Skill_4
1,Full Stack Developer Intern,RELIANCE INDUSTRIES LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Jaipur,JavaScript,Node.js,React,MongoDB
2,Real Estate Analyst Intern,TATA CONSULTANCY SERVICES LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Jaipur,Financial Modeling,Market Analysis,Real Estate Valuation,
3,Human Resources Intern,HDFC BANK LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Kolkata,MS Office,Communication,,
4,Hotel Management Intern,OIL AND NATURAL GAS CORPORATION LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Jaipur,F&B Management,Housekeeping,Guest Relations,
5,Digital Marketing Intern,INFOSYS LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Ahmedabad,SEM,PPC,Email Marketing,Google Analytics
6,Graphic Design Intern,NTPC LIMITED,"Design graphics for social media, websites, and marketing materials.",12th Pass,Design,Kolkata,Adobe Photoshop,Illustrator,Canva,
7,Data Scientist Intern,TATA STEEL LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
8,Sports Marketing Intern,ITC LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Jaipur,Digital Marketing,Brand Partnerships,Fan Engagement,
9,Brand Management Intern,INDIAN OIL CORPORATION LIMITED,Help develop and execute brand marketing strategies.,MBA (Marketing),FMCG,Work From Home,Marketing Strategy,Brand Positioning,Market Research,
10,SEO Analyst Intern,ICICI BANK LIMITED,"Conduct keyword research, optimize website content, and build backlinks.",Any Graduate,Marketing,Ahmedabad,Google Analytics,Keyword Research,On-page SEO,
11,Frontend Developer Intern,POWER GRID CORPORATION OF INDIA LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Jaipur,HTML,CSS,JavaScript,React
12,Hotel Management Intern,TATA SONS PRIVATE LIMITED,Rotate through different hotel departments to learn all aspects of hotel management.,BHM,Travel & Hospitality,Pune,F&B Management,Housekeeping,Guest Relations,
13,Manufacturing Intern,WIPRO LIMITED,Support the production team in optimizing manufacturing processes.,B.Tech (Mech/Prod),Automobile,Chennai,Lean Manufacturing,Six Sigma,Process Improvement,
14,Business Intelligence Intern,HCL TECHNOLOGIES LIMITED,Create dashboards and reports to track key business metrics.,BBA/B.Com,Data Science,Work From Home,Power BI,Tableau,SQL,Data Warehousing
15,R&D Intern,HINDUSTAN ZINC LIMITED,Assist scientists in research and development of new pharmaceutical products.,M.Pharm/M.Sc,Pharmaceuticals,Ahmedabad,Laboratory Techniques,Data Analysis,Scientific Writing,
16,Human Resources Intern,RELIANCE JIO INFOCOMM LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Gurugram,MS Office,Communication,,
17,Human Resources Intern,MAHANADI COALFIELDS LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
18,Site Reliability Engineer Intern,NMDC LIMITED,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Delhi,Linux,Networking,Python,
19,Frontend Developer Intern,HINDUSTAN UNILEVER LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Pune,HTML,CSS,JavaScript,React
20,Content Writer Intern,REC LIMITED,"Write articles, blog posts, and other content for our website and marketing channels.",Any Graduate,Marketing,Delhi,Creative Writing,Blogging,SEO Writing,
21,Content Writer Intern,JSW STEEL LIMITED,"Write articles, blog posts, and other content for our website and marketing channels.",Any Graduate,Marketing,Noida,Creative Writing,Blogging,SEO Writing,
22,Frontend Developer Intern,GAIL (INDIA) LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Work From Home,HTML,CSS,JavaScript,React
23,Digital Marketing Intern,COGNIZANT TECHNOLOGY SOLUTIONS INDIA PRIVATE LIMITED,"Assist with online advertising campaigns, email marketing, and social media.",BBA/MBA,Marketing,Delhi,SEM,PPC,Email Marketing,Google Analytics
24,Sports Marketing Intern,LARSEN AND TOUBRO LIMITED,Help create and implement marketing campaigns for our sports brand.,MBA (Marketing),Sports,Hyderabad,Digital Marketing,Brand Partnerships,Fan Engagement,
25,Recruitment Intern,AXIS BANK LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
26,Production Intern,NORTHERN COALFIELDS LIMITED,Learn and assist in the day-to-day manufacturing and production operations.,B.Tech (Prod/Mech),Manufacturing,Delhi,Manufacturing Processes,Safety,Quality Control,
27,Data Analyst Intern,OIL INDIA LIMITED,"Clean, analyze, and visualize large datasets to generate actionable business insights.",Any Graduate,Data Science,Noida,Python,Pandas,SQL,Tableau
28,SEO Analyst Intern,HINDUSTAN PETROLEUM CORPORATION LIMITED,"Conduct keyword research, optimize website content, and build backlinks.",Any Graduate,Marketing,Noida,Google Analytics,Keyword Research,On-page SEO,
29,Site Reliability Engineer Intern,JINDAL STEEL & POWER LIMITED,Help build and maintain the reliability of our large-scale production systems.,B.Tech,IT,Delhi,Linux,Networking,Python,
30,UI/UX Design Intern,RELIANCE RETAIL LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Pune,Figma,Adobe XD,Wireframing,Prototyping
31,Full Stack Developer Intern,NUCLEAR POWER CORPORATION OF INDIA LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Bengaluru,JavaScript,Node.js,React,MongoDB
32,Recruitment Intern,TECH MAHINDRA LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Jaipur,Sourcing,Interviewing,Applicant Tracking Systems,
33,UI/UX Design Intern,POWER FINANCE CORPORATION LIMITED,"Create wireframes, mockups, and prototypes for our web and mobile applications.",Any Graduate,Design,Bengaluru,Figma,Adobe XD,Wireframing,Prototyping
34,Construction Management Intern,ULTRATECH CEMENT LIMITED,Assist project managers with planning and executing construction projects.,B.Tech (Civil),Real Estate,Delhi,Project Management,AutoCAD,Site Supervision,
35,Hardware Engineer Intern,INDUSIND BANK LTD.,Contribute to the design and testing of electronic circuits and hardware.,B.Tech (ECE),Electronics,Kolkata,Verilog,VHDL,PCB Design,
36,Automotive Design Intern,NHPC LIMITED,Contribute to the conceptualization and design of new vehicle models.,B.Des/B.Tech (Mech),Automobile,Delhi,CATIA,Alias,Automotive Design,
37,Manufacturing Intern,STEEL AUTHORITY OF INDIA LIMITED,Support the production team in optimizing manufacturing processes.,B.Tech (Mech/Prod),Automobile,Hyderabad,Lean Manufacturing,Six Sigma,Process Improvement,
38,Social Media Marketing Intern,MARUTI SUZUKI INDIA LIMITED,"Manage social media accounts, create engaging content, and track performance.",BBA/Any Graduate,Marketing,Work From Home,Facebook Ads,Instagram Marketing,Content Creation,
39,Process Engineer Intern,VEDANTA LIMITED,Analyze and improve manufacturing processes for efficiency and quality.,B.Tech (Chem),Manufacturing,Pune,Process Optimization,Chemical Engineering,AutoCAD,
40,Human Resources Intern,BHARAT PETROLEUM CORPORATION LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
41,Recruitment Intern,SERUM INSTITUTE OF INDIA PRIVATE LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Work From Home,Sourcing,Interviewing,Applicant Tracking Systems,
42,Real Estate Analyst Intern,BAJAJ FINANCE LIMITED,Analyze real estate investment opportunities and market trends.,MBA/BBA,Real Estate,Noida,Financial Modeling,Market Analysis,Real Estate Valuation,
43,Sports Analytics Intern,MAHINDRA AND MAHINDRA LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Kolkata,Statistics,Python,SQL,Data Visualization
44,SEO Analyst Intern,HINDUSTAN AERONAUTICS LIMITED,"Conduct keyword research, optimize website content, and build backlinks.",Any Graduate,Marketing,Ahmedabad,Google Analytics,Keyword Research,On-page SEO,
45,Full Stack Developer Intern,SAMSUNG INDIA ELECTRONICS PRIVATE LIMITED,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Delhi,JavaScript,Node.js,React,MongoDB
46,Full Stack Developer Intern,BAJAJ AUTO LIMITED.,Contribute to both front-end and back-end development of our web applications.,B.Tech,IT,Work From Home,JavaScript,Node.js,React,MongoDB
47,Human Resources Intern,KOTAK MAHINDRA BANK LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Work From Home,MS Office,Communication,,
48,Travel Operations Intern,ACCENTURE SOLUTIONS PRIVATE LIMITED,"Assist with booking, scheduling, and other travel logistics.",B.A. (Tourism),Travel & Hospitality,Jaipur,Booking Systems,Itinerary Planning,Vendor Management,
49,Sports Analytics Intern,SHRIRAM FINANCE LIMITED,Analyze sports data to provide insights to teams and management.,B.Sc (Stats)/B.Tech,Sports,Hyderabad,Statistics,Python,SQL,Data Visualization
50,Product Design Intern,MUTHOOT FINANCE LIMITED,"Contribute to the end-to-end design process, from user research to final UI.",B.Des/Any Graduate,Design,Chennai,User Research,Prototyping,UI Design,
51,Financial Analyst Intern,RUNGTA SONS PVT LTD,"Assist in financial modeling, market research, and preparing investment reports.",MBA,Finance,Jaipur,Excel,Financial Modeling,Valuation,
52,Software QA Intern,HERO MOTOCORP LIMITED,Perform quality assurance testing on software and services for our products.,B.Tech,IT,Work From Home,Software Testing,QA,iOS,
53,Investment Banking Intern,COAL INDIA LTD GOVT OF INDIA UNDERTAKING,"Support deal execution, including M&A and capital raising transactions.",MBA (Finance),Finance,Delhi,Valuation,DCF,M&A,Excel
54,Recruitment Intern,MEGHA ENGINEERING & INFRASTRUCTURES LIMITED,"Source candidates, schedule interviews, and assist with the hiring process.",MBA (HR),HR,Hyderabad,Sourcing,Interviewing,Applicant Tracking Systems,
55,Healthcare Management Intern,AMBUJA CEMENTS LIMITED,Support the operations and management of our healthcare facilities.,MBA (Healthcare),Healthcare,Pune,Healthcare Operations,Patient Care,Data Analysis,
56,Mechanical Engineer Intern,INDUS TOWERS LIMITED,"Work on the design, analysis, and testing of mechanical components.",B.Tech (Mech),Automobile,Hyderabad,AutoCAD,SolidWorks,CATIA,
57,Human Resources Intern,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Support the recruitment process, employee onboarding, and policy documentation.",MBA,HR,Jaipur,MS Office,Communication,,
58,Frontend Developer Intern,SOUTH EASTERN COALFIELDS LIMITED,Build responsive and user-friendly web interfaces using modern frameworks.,Any Graduate,IT,Delhi,HTML,CSS,JavaScript,React
59,Data Scientist Intern,ASIAN PAINTS LIMITED,Develop and deploy machine learning models to solve business problems.,B.Tech/M.Tech,Data Science,Work From Home,Python,R,Machine Learning,Statistics
